Season,Date,HomeTeam,AwayTeam,B365H,B365D,B365A,Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsConceded,GoalsDiff,HTGoalsScored,HTGoalsConceded,HTGoalsDiff,Points,WinPercent,WinStreak,UnbPercent,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,Venue,Result
2022-2023,2022-09-04,united,arsenal,2.5,3.5,2.7,P Tierney,Sun,0,-1,-4.599999999999998,-2.2,-2.8,2.0,1.7999999999999998,0.0,-1.6,0.5999999999999999,-11.0,-0.7999999999999999,1.2,-10.0,-1.2,-40.0,-2.0,-40.0,-2.0,4,3,5,4.0,1,0,-0.20000000000000018,Old Trafford,W
2022-2023,2022-09-18,brentford,arsenal,4.2,3.8,1.8,D Coote,Sun,0,0,-5.000000000000002,-1.0,-1.3999999999999995,-2.5999999999999996,-0.19999999999999996,0.0,0.20000000000000018,0.0,1.0,0.3999999999999999,0.6000000000000001,-1.0,-0.7999999999999998,-40.0,1.0,0.0,3.0,-3,-5,-3,-3.6700000000000017,8,0,2.4000000000000004,Brentford Community Stadium,L
2022-2023,2022-10-16,leeds,arsenal,6.0,4.2,1.55,C Kavanagh,Sun,-1,4,-4.800000000000001,-3.4,-0.6000000000000005,5.800000000000001,0.7999999999999998,0.2,-1.5999999999999999,0.40000000000000013,-10.0,-0.7999999999999999,0.20000000000000007,-5.0,-2.0,-80.0,-3.0,-40.0,-3.0,-3,-4,-5,-4.0,12,0,4.45,Elland Road,L
2022-2023,2022-10-23,southampton,arsenal,6.0,4.0,1.57,R Jones,Sun,1,1,-3.5999999999999996,-2.4,-0.3999999999999999,0.20000000000000107,-0.3999999999999999,0.0,-1.6,0.40000000000000013,-10.0,-0.7999999999999999,0.0,-4.0,-1.5999999999999999,-60.0,-3.0,-40.0,-2.0,-4,-4,-8,-5.340000000000003,10,0,4.43,St Mary's Stadium,D
2022-2023,2022-11-06,chelsea,arsenal,2.55,3.4,2.7,M Oliver,Sun,0,1,-3.0,-1.5999999999999996,-1.0,-1.8000000000000007,0.40000000000000013,0.0,-1.2000000000000002,0.19999999999999996,-7.0,-0.7999999999999999,0.19999999999999996,-5.0,-1.0,-40.0,-1.0,-20.0,-6.0,4,6,0,3.3299999999999983,-2,0,-0.15000000000000036,Stamford Bridge,L
2022-2023,2022-11-12,wolves,arsenal,6.0,4.2,1.55,S Attwell,Sat,1,0,-1.5999999999999996,-1.2000000000000002,0.0,5.0,0.8,0.4,-1.2000000000000002,1.4,-13.0,-0.4,0.6000000000000001,-5.0,-1.8,-60.0,-2.0,-60.0,-7.0,-2,-1,-4,-2.3400000000000034,5,0,4.45,Molineux Stadium,L
2022-2023,2022-12-31,brighton,arsenal,3.4,3.5,2.1,A Taylor,Sat,0,0,-4.0,0.20000000000000018,0.5999999999999996,2.799999999999999,0.6000000000000001,0.0,0.0,1.4,-7.0,1.2000000000000002,0.8,2.0,-0.8,-20.0,-3.0,-40.0,-8.0,-2,-5,-7,-4.670000000000002,4,0,1.2999999999999998,Falmer Stadium,L
2022-2023,2023-01-15,tottenham,arsenal,3.1,3.6,2.2,C Pawson,Sun,1,2,-2.1999999999999993,1.3999999999999995,0.39999999999999947,-0.40000000000000036,-0.6000000000000001,0.0,0.20000000000000018,1.2000000000000002,-5.0,-0.2,0.8,-5.0,-1.2000000000000002,-40.0,1.0,-40.0,-10.0,0,1,1,0.6599999999999966,-1,0,0.8999999999999999,Tottenham Hotspur Stadium,L
2022-2023,2023-02-04,everton,arsenal,8.5,4.5,1.4,D Coote,Sat,1,2,-9.0,-1.8000000000000003,-1.6000000000000005,-2.5999999999999996,-0.19999999999999996,0.0,-1.5999999999999999,1.2000000000000002,-14.0,-0.6,0.6,-6.0,-2.4,-80.0,-2.0,-80.0,-13.0,-2,-3,-3,-2.6700000000000017,11,0,7.1,Goodison Park,W
2022-2023,2023-02-18,aston-villa,arsenal,4.5,3.6,1.5,S Hooper,Sat,0,3,-4.399999999999999,-0.20000000000000018,-0.7999999999999998,0.0,0.19999999999999996,0.0,0.0,0.40000000000000013,-2.0,-0.20000000000000007,0.9999999999999999,-6.0,0.0,0.0,0.0,0.0,0.0,1,-2,-4,-1.6700000000000017,9,0,3.0,Villa Park,L
2022-2023,2023-02-25,leicester,arsenal,4.75,4.0,1.7,C Pawson,Sat,0,-1,-7.000000000000002,-0.6000000000000001,-2.8,2.8000000000000007,1.2000000000000002,0.0,0.19999999999999996,0.19999999999999996,0.0,0.7999999999999999,0.19999999999999996,3.0,0.0,0.0,-1.0,0.0,-1.0,-4,-3,1,-2.0,3,0,3.05,King Power Stadium,L
2022-2023,2023-03-12,fulham,arsenal,6.0,4.0,1.57,D Coote,Sun,0,3,-7.199999999999999,-0.6000000000000005,-4.8,5.800000000000001,1.9999999999999998,0.0,-1.4000000000000001,-0.5999999999999999,-4.0,-0.4,-0.4,0.0,-0.7999999999999998,-40.0,-4.0,0.0,-4.0,-6,-7,-4,-5.659999999999997,16,1,4.43,Craven Cottage,L
2022-2023,2023-04-09,liverpool,arsenal,2.88,3.6,2.38,P Tierney,Sun,-1,-3,-6.0,-1.4000000000000004,-3.2,5.000000000000001,1.8,0.0,-1.6,0.19999999999999996,-9.0,-1.2000000000000002,0.2,-7.0,-1.6,-60.0,-7.0,-40.0,-6.0,4,-1,3,2.0,-3,0,0.5,Anfield,D
2022-2023,2023-04-16,west-ham,arsenal,6.0,4.2,1.55,D Coote,Sun,-1,-4,-7.000000000000002,-3.0000000000000004,-1.1999999999999993,0.8000000000000007,0.3999999999999999,0.0,-2.4000000000000004,0.8,-16.0,-0.8,0.4,-6.0,-1.2000000000000002,-40.0,1.0,-40.0,-7.0,-2,-3,-2,-2.3299999999999983,2,0,4.45,London Stadium,D
2022-2023,2023-04-26,city,arsenal,1.55,4.5,5.25,M Oliver,Wed,-2,-1,-1.1999999999999993,0.0,3.0,0.8000000000000007,0.20000000000000018,0.0,-0.20000000000000018,-1.2000000000000002,5.0,-0.40000000000000013,-0.6000000000000001,1.0,1.2,60.0,6.0,0.0,-1.0,4,4,4,4.0,-4,0,-3.7,Etihad Stadium,W
2022-2023,2023-05-07,newcastle,arsenal,2.45,3.75,2.63,C Kavanagh,Sun,-1,2,2.1999999999999993,-0.1999999999999993,3.5999999999999996,-0.40000000000000036,-1.0,0.0,0.7999999999999998,-1.0,9.0,-0.40000000000000013,-0.6,1.0,1.2,60.0,2.0,0.0,2.0,-1,-5,-2,-2.6599999999999966,6,0,-0.17999999999999972,St. James Park,L
2022-2023,2023-05-20,nottingham,arsenal,5.25,4.33,1.57,A Taylor,Sat,0,1,-5.0,-1.4000000000000004,-2.8000000000000003,1.0,0.5999999999999999,0.0,0.5999999999999999,0.0,3.0,0.19999999999999996,-0.4,3.0,0.0,0.0,0.0,0.0,2.0,-3,-7,-6,-5.329999999999998,18,1,3.6799999999999997,City Ground,W
2022-2023,2022-10-02,leeds,aston-villa,2.35,3.4,3.0,S Attwell,Sun,-1,0,5.199999999999999,1.7999999999999998,2.5999999999999996,0.5999999999999996,0.0,0.0,0.8,0.40000000000000013,2.0,0.19999999999999996,0.19999999999999996,0.0,0.19999999999999996,0.0,-1.0,20.0,-2.0,-4,-2,-1,-2.3299999999999983,3,0,-0.6499999999999999,Elland Road,D
2022-2023,2022-10-10,nottingham,aston-villa,3.3,3.4,2.2,A Taylor,Mon,0,-1,2.200000000000001,-1.1999999999999997,-0.6000000000000005,-0.3999999999999986,0.6000000000000001,0.0,0.20000000000000007,2.8,-13.0,0.39999999999999997,1.2,-4.0,-1.0,-20.0,0.0,-60.0,-3.0,-7,-5,-3,-5.0,9,1,1.0999999999999996,City Ground,D
2022-2023,2022-10-20,fulham,aston-villa,2.9,3.3,2.5,M Oliver,Thu,0,1,-1.799999999999999,-0.6000000000000001,-1.2000000000000002,-4.4,1.0,0.2,1.0,1.8,-4.0,0.0,1.2000000000000002,-6.0,-0.3999999999999999,0.0,0.0,-40.0,1.0,-6,-3,-1,-3.3299999999999983,7,1,0.3999999999999999,Craven Cottage,W
2022-2023,2022-10-29,newcastle,aston-villa,1.8,3.75,4.5,P Tierney,Sat,0,0,-1.4000000000000004,-1.1999999999999993,0.40000000000000036,-3.5999999999999996,-0.6000000000000001,-0.2,1.4,-0.6,10.0,0.8,-0.6,7.0,1.6,60.0,1.0,40.0,6.0,-1,-2,-1,-1.3299999999999983,-3,0,-2.7,St. James Park,W
2022-2023,2022-11-13,brighton,aston-villa,1.83,3.75,4.2,C Kavanagh,Sun,-1,1,5.6,1.0,3.2,2.0,0.20000000000000018,-0.2,0.20000000000000018,-0.3999999999999999,3.0,0.0,0.19999999999999996,-1.0,0.19999999999999996,0.0,1.0,20.0,1.0,-3,-3,-3,-3.0,-5,0,-2.37,Falmer Stadium,L
2022-2023,2023-01-01,tottenham,aston-villa,1.67,4.0,5.0,J Brooks,Sun,0,0,7.200000000000001,2.0,6.000000000000001,-0.8000000000000007,-0.7999999999999998,0.0,0.20000000000000018,0.40000000000000013,-1.0,-1.0,0.6000000000000001,-8.0,-0.40000000000000013,-20.0,0.0,0.0,2.0,-1,3,5,2.3299999999999983,-10,0,-3.33,Tottenham Hotspur Stadium,L
2022-2023,2023-01-21,southampton,aston-villa,2.88,3.25,2.55,M Salisbury,Sat,0,-1,-0.8000000000000007,-0.8000000000000003,0.8000000000000003,3.4000000000000004,-0.8,0.0,-0.6000000000000001,0.8,-7.0,-0.2,0.8,-5.0,-1.4,-40.0,0.0,-60.0,-2.0,-5,-2,-4,-3.6700000000000017,1,0,0.33000000000000007,St Mary's Stadium,L
2022-2023,2023-02-12,city,aston-villa,1.25,6.5,11.0,R Jones,Sun,0,-1,-2.200000000000001,0.0,0.0,0.1999999999999993,-0.6000000000000001,0.0,0.19999999999999996,-0.19999999999999996,2.0,-0.39999999999999997,-0.20000000000000007,-1.0,-0.19999999999999996,0.0,0.0,-20.0,0.0,6,8,6,6.670000000000002,-13,0,-9.75,Etihad Stadium,W
2022-2023,2023-02-25,everton,aston-villa,2.5,3.2,3.0,A Taylor,Sat,0,0,-1.8000000000000007,-0.8000000000000003,2.4000000000000004,-1.5999999999999996,0.3999999999999999,0.0,-1.0,-1.2,1.0,-0.8,-0.7999999999999999,0.0,0.0,0.0,1.0,0.0,1.0,-3,-2,0,-1.6700000000000017,2,0,-0.5,Goodison Park,L
2022-2023,2023-03-12,west-ham,aston-villa,2.2,3.3,3.4,C Kavanagh,Sun,0,-5,-0.40000000000000036,-1.1999999999999997,1.7999999999999998,-3.0,-0.19999999999999996,0.0,-0.40000000000000013,-0.6000000000000001,1.0,-0.6,-0.7999999999999999,1.0,-0.19999999999999996,-20.0,-2.0,20.0,-2.0,-1,1,1,0.3299999999999983,-7,0,-1.1999999999999997,London Stadium,D
2022-2023,2023-04-01,chelsea,aston-villa,1.67,3.8,5.25,A Madley,Sat,0,0,3.200000000000001,-0.20000000000000018,2.8,0.40000000000000036,1.2,0.0,-0.6000000000000001,0.19999999999999996,-4.0,-0.6,0.0,-3.0,-0.6000000000000001,-20.0,-1.0,-20.0,-1.0,4,0,5,3.0,-11,0,-3.58,Stamford Bridge,L
2022-2023,2023-04-04,leicester,aston-villa,2.55,3.3,2.75,G Scott,Tue,0,0,-1.6000000000000014,-2.2,-1.0,1.200000000000001,0.40000000000000013,0.2,-1.2000000000000002,1.4000000000000001,-13.0,-0.6000000000000001,0.6000000000000001,-6.0,-2.4,-80.0,-2.0,-80.0,-5.0,-3,1,4,0.6599999999999966,-6,0,-0.20000000000000018,King Power Stadium,L
2022-2023,2023-04-22,brentford,aston-villa,2.5,3.25,2.88,M Salisbury,Sat,0,0,-3.6000000000000014,-1.6,-1.6000000000000005,-1.4000000000000004,-0.6000000000000001,0.2,-1.4,1.6,-15.0,0.0,0.6000000000000001,-3.0,-2.6,-100.0,-5.0,-60.0,-8.0,-5,-4,-2,-3.6700000000000017,-1,0,-0.3799999999999999,Brentford Community Stadium,D
2022-2023,2023-04-30,united,aston-villa,1.73,3.9,4.6,J Gillett,Sun,-2,-2,4.999999999999998,2.4000000000000004,3.0,-0.40000000000000036,-0.40000000000000013,0.0,-0.40000000000000013,0.4,-4.0,0.4,-0.2,3.0,-0.6000000000000001,-20.0,-1.0,-20.0,-6.0,2,4,4,3.3299999999999983,-8,0,-2.8699999999999997,Old Trafford,W
2022-2023,2023-05-06,wolves,aston-villa,2.88,3.3,2.5,S Attwell,Sat,0,1,-0.8000000000000007,1.2000000000000002,1.4000000000000004,5.0,0.5999999999999999,0.0,-0.19999999999999996,1.2000000000000002,-7.0,0.4,0.8,-2.0,-0.19999999999999996,0.0,0.0,-20.0,0.0,-5,1,0,-1.3400000000000034,-4,0,0.3799999999999999,Molineux Stadium,W
2022-2023,2023-05-20,liverpool,aston-villa,1.45,5.0,6.25,J Brooks,Sat,0,-2,3.799999999999999,1.6,-0.20000000000000018,5.3999999999999995,-0.6000000000000001,0.0,1.4000000000000001,0.0,7.0,1.2000000000000002,0.0,6.0,1.6,60.0,6.0,40.0,8.0,5,3,6,4.659999999999997,-12,0,-4.8,Anfield,D
2022-2023,2022-10-01,bournemouth,brentford,3.3,3.4,2.2,T Bramall,Sat,0,0,-5.2,-2.3999999999999995,-1.8000000000000003,1.8000000000000007,0.0,0.0,-1.0,1.0,-10.0,-0.6,0.6000000000000001,-6.0,0.0,0.0,0.0,0.0,3.0,-2,0,-2,-1.3400000000000034,9,1,1.0999999999999996,Dean Court,D
2022-2023,2022-10-08,newcastle,brentford,1.83,3.8,4.2,J Brooks,Sat,0,0,5.600000000000001,1.7999999999999998,3.0,3.1999999999999993,-0.20000000000000018,0.0,0.0,-0.3999999999999999,2.0,0.4,-0.6000000000000001,5.0,0.0,0.0,1.0,0.0,2.0,4,2,3,3.0,-2,0,-2.37,St. James Park,W
2022-2023,2022-10-23,aston-villa,brentford,2.1,3.5,3.5,D England,Sun,0,-1,6.6000000000000005,1.6,1.7999999999999998,3.8000000000000007,0.8,0.2,-0.19999999999999996,-0.40000000000000013,1.0,0.2,-0.20000000000000007,2.0,0.0,0.0,0.0,0.0,-2.0,5,4,4,4.329999999999998,1,0,-1.4,Villa Park,W
2022-2023,2022-11-05,nottingham,brentford,2.75,3.3,2.6,A Marriner,Sat,0,-1,-2.2,-0.6000000000000001,-1.8000000000000003,2.5999999999999996,0.40000000000000013,0.0,-0.4,-0.6000000000000001,1.0,0.0,-0.6,3.0,0.0,0.0,0.0,0.0,-1.0,-2,-1,1,-0.6700000000000017,10,1,0.1499999999999999,City Ground,D
2022-2023,2022-11-12,city,brentford,1.14,8.0,17.0,P Bankes,Sat,-1,-1,6.6,2.3999999999999995,4.199999999999999,-2.5999999999999996,-0.8,0.2,1.0,-0.7999999999999999,9.0,0.6,-0.6000000000000001,6.0,1.2,60.0,3.0,0.0,1.0,11,12,10,11.0,-12,0,-15.86,Etihad Stadium,L
2022-2023,2022-12-30,west-ham,brentford,2.0,3.6,3.6,D England,Fri,0,0,3.0,0.0,1.7999999999999998,1.0,-0.19999999999999996,0.0,-0.5999999999999999,-0.3999999999999999,-1.0,0.0,-0.4,2.0,-0.6,0.0,0.0,-60.0,-4.0,4,6,4,4.659999999999997,-6,0,-1.6,London Stadium,L
2022-2023,2023-01-22,leeds,brentford,2.38,3.6,2.88,P Bankes,Sun,-1,-4,1.8000000000000007,-2.6,1.8000000000000003,4.6,1.4,0.2,-0.8000000000000003,1.4000000000000001,-11.0,-0.7999999999999999,0.6000000000000001,-7.0,-2.2,-80.0,-3.0,-60.0,-7.0,1,2,3,2.0,4,0,-0.5,Elland Road,D
2022-2023,2023-02-11,arsenal,brentford,1.44,4.75,7.0,P Bankes,Sat,-1,0,6.800000000000001,0.5999999999999996,2.4,1.8000000000000007,1.2000000000000002,0.0,-0.19999999999999996,0.8,-5.0,-0.3999999999999999,0.2,-3.0,-0.6000000000000001,-20.0,-1.0,-20.0,-9.0,4,6,8,6.0,-8,0,-5.5600000000000005,Emirates Stadium,D
2022-2023,2023-03-11,everton,brentford,2.7,3.25,2.7,S Hooper,Sat,2,1,-0.1999999999999993,0.6000000000000001,0.6000000000000001,1.1999999999999993,1.4,0.0,-1.0,1.2,-11.0,-0.19999999999999996,0.6000000000000001,-4.0,-1.0,-20.0,-1.0,-60.0,-11.0,2,2,2,2.0,3,0,0.0,Goodison Park,W
2022-2023,2023-03-15,southampton,brentford,2.88,3.25,2.5,M Salisbury,Wed,1,-1,0.0,-0.6000000000000001,0.0,3.4000000000000004,2.0,0.0,-1.0,-0.4,-3.0,0.0,-0.4,2.0,-0.20000000000000018,0.0,0.0,-20.0,2.0,2,-3,0,-0.3299999999999983,2,0,0.3799999999999999,St Mary's Stadium,L
2022-2023,2023-04-01,brighton,brentford,1.67,4.0,5.0,M Oliver,Sat,-2,0,4.600000000000001,1.5999999999999996,1.6000000000000005,-0.6000000000000014,-0.6,-0.2,0.20000000000000018,-0.19999999999999996,2.0,0.0,-0.2,1.0,0.0,0.0,1.0,0.0,1.0,3,1,-1,1.0,-4,0,-3.33,Falmer Stadium,D
2022-2023,2023-04-05,united,brentford,1.65,4.0,5.0,J Brooks,Wed,-1,-1,1.1999999999999993,0.0,0.39999999999999947,1.1999999999999993,0.19999999999999996,-0.2,-0.8,0.40000000000000013,-6.0,-0.8,-0.6000000000000001,-1.0,-0.20000000000000018,0.0,0.0,-20.0,-3.0,7,8,6,7.0,-7,0,-3.35,Old Trafford,W
2022-2023,2023-04-15,wolves,brentford,2.45,3.1,3.0,P Tierney,Sat,0,0,1.5999999999999996,0.6000000000000005,0.5999999999999996,2.0,1.4000000000000001,0.0,-0.19999999999999996,0.0,-1.0,-0.8,0.0,-4.0,0.3999999999999999,20.0,1.0,0.0,2.0,0,5,2,2.3299999999999983,-3,0,-0.5499999999999998,Molineux Stadium,W
2022-2023,2023-04-26,chelsea,brentford,1.7,4.0,4.75,A Madley,Wed,-1,4,7.800000000000001,0.20000000000000018,3.0,-0.7999999999999989,1.2000000000000002,0.0,-0.4,-0.40000000000000013,0.0,-0.39999999999999997,-0.20000000000000007,-1.0,0.0,0.0,0.0,0.0,-1.0,9,4,7,6.670000000000002,-10,0,-3.05,Stamford Bridge,L
2022-2023,2023-05-06,liverpool,brentford,1.44,5.0,6.0,A Taylor,Sat,0,-4,5.799999999999999,0.20000000000000018,1.0,0.3999999999999986,-0.5999999999999999,0.0,2.0,0.19999999999999996,9.0,0.9999999999999999,0.0,5.0,1.6,60.0,3.0,40.0,4.0,10,7,8,8.329999999999998,-11,0,-4.5600000000000005,Anfield,W
2022-2023,2023-05-20,tottenham,brentford,1.83,3.9,4.0,J Gillett,Sat,0,1,-0.7999999999999989,-0.5999999999999996,-0.7999999999999998,2.0,0.5999999999999999,0.0,0.20000000000000018,2.1999999999999997,-10.0,-0.19999999999999996,1.8000000000000003,-10.0,-1.2,-40.0,-1.0,-40.0,-1.0,5,6,8,6.329999999999998,-9,0,-2.17,Tottenham Hotspur Stadium,L
2022-2023,2022-10-01,palace,chelsea,4.2,3.6,1.85,C Kavanagh,Sat,0,0,0.5999999999999996,2.2,-2.8,1.0,0.0,-0.4,0.0,-0.40000000000000013,2.0,0.4,-0.6000000000000001,5.0,-0.19999999999999996,-20.0,-1.0,20.0,1.0,-7,-10,-8,-8.329999999999998,9,0,2.35,Selhurst Park,L
2022-2023,2022-10-16,aston-villa,chelsea,4.33,3.75,1.8,R Jones,Sun,1,1,-1.799999999999999,-0.7999999999999998,0.1999999999999993,3.5999999999999996,0.3999999999999999,-0.2,-1.2,-0.19999999999999996,-5.0,-0.19999999999999996,-0.19999999999999996,0.0,-1.2,-60.0,-3.0,0.0,1.0,-3,-8,-4,-5.0,11,0,2.5300000000000002,Villa Park,L
2022-2023,2022-10-19,brentford,chelsea,4.75,3.8,1.72,J Gillett,Wed,1,2,-2.8000000000000007,-0.20000000000000018,0.0,0.20000000000000107,-1.0,0.0,-0.3999999999999999,1.2,-8.0,-0.20000000000000007,0.4,-3.0,-1.0,-40.0,-3.0,-20.0,-3.0,-8,-12,-8,-9.329999999999998,10,0,3.0300000000000002,Brentford Community Stadium,D
2022-2023,2022-10-29,brighton,chelsea,3.0,3.3,2.4,A Madley,Sat,0,3,1.4000000000000004,1.0,3.2,2.4000000000000004,0.0,0.0,-0.8,1.4,-11.0,-0.19999999999999996,0.8,-5.0,-1.8000000000000003,-60.0,0.0,-60.0,-6.0,-6,-11,-7,-8.0,6,0,0.6000000000000001,Falmer Stadium,W
2022-2023,2022-11-12,newcastle,chelsea,2.35,3.4,3.0,R Jones,Sat,1,0,3.4000000000000004,0.6000000000000005,0.7999999999999998,-1.0,-1.0000000000000002,0.0,1.4000000000000001,-0.7999999999999999,11.0,0.8,-0.6,7.0,1.6,60.0,4.0,40.0,9.0,-4,-10,-5,-6.329999999999998,8,0,-0.6499999999999999,St. James Park,W
2022-2023,2023-01-01,nottingham,chelsea,5.0,3.8,1.7,P Bankes,Sun,1,0,0.20000000000000107,0.8000000000000003,-1.4000000000000004,-1.1999999999999993,-0.6000000000000001,0.0,0.0,0.6000000000000001,-3.0,-0.2,0.20000000000000007,-2.0,0.5999999999999999,20.0,-1.0,20.0,-1.0,-10,-13,-7,-10.0,20,1,3.3,City Ground,D
2022-2023,2023-01-12,fulham,chelsea,3.3,3.5,2.15,D Coote,Thu,1,1,4.0,2.4,1.4,-1.5999999999999996,0.0,0.0,1.0,0.19999999999999996,4.0,0.20000000000000007,0.4,-1.0,1.0,40.0,3.0,20.0,3.0,-9,-11,-5,-8.329999999999998,18,1,1.15,Craven Cottage,W
2022-2023,2023-01-21,liverpool,chelsea,1.85,3.75,4.0,M Oliver,Sat,-1,-2,1.8000000000000007,1.0,-0.5999999999999996,-1.200000000000001,-0.6000000000000001,-0.2,0.8,1.0,-1.0,0.7999999999999999,0.6000000000000001,1.0,0.40000000000000013,20.0,-1.0,0.0,-1.0,2,-2,1,0.3299999999999983,-1,0,-2.15,Anfield,D
2022-2023,2023-02-11,west-ham,chelsea,3.3,3.3,2.25,C Pawson,Sat,0,-1,1.200000000000001,-1.2000000000000002,-2.8000000000000003,-0.8000000000000007,-0.6000000000000001,-0.2,0.6,0.6,0.0,0.8,0.6000000000000001,1.0,0.0,0.0,0.0,0.0,-1.0,-4,-6,-4,-4.670000000000002,4,0,1.0499999999999998,London Stadium,D
2022-2023,2023-02-26,tottenham,chelsea,2.55,3.25,2.9,S Attwell,Sun,1,-1,-1.8000000000000007,0.0,-2.4000000000000004,1.1999999999999993,0.6000000000000001,0.2,0.9999999999999999,1.2000000000000002,-1.0,0.8,0.19999999999999996,3.0,0.6000000000000001,40.0,1.0,-20.0,1.0,-4,2,1,-0.3400000000000034,1,0,-0.3500000000000001,Tottenham Hotspur Stadium,W
2022-2023,2023-03-11,leicester,chelsea,3.75,3.5,1.95,A Marriner,Sat,0,3,-1.8000000000000007,-0.3999999999999999,-3.0,-1.0,0.20000000000000018,0.0,1.2000000000000002,0.8,2.0,1.0,0.6,2.0,0.19999999999999996,20.0,-1.0,-20.0,-1.0,-7,1,-1,-2.3400000000000034,5,0,1.8,King Power Stadium,L
2022-2023,2023-04-08,wolves,chelsea,4.2,3.5,1.91,P Bankes,Sat,0,3,-6.800000000000001,-1.6000000000000005,-3.4,2.799999999999999,0.7999999999999998,0.2,-0.19999999999999996,0.8,-5.0,-0.4,0.19999999999999996,-3.0,-0.8,-20.0,0.0,-40.0,0.0,-9,1,-5,-4.340000000000003,7,0,2.29,Molineux Stadium,W
2022-2023,2023-05-02,arsenal,chelsea,1.6,4.0,5.5,R Jones,Tue,1,0,-1.8000000000000007,1.1999999999999997,-2.2,1.4000000000000004,-0.7999999999999998,0.0,2.1999999999999997,1.0,6.0,1.0,0.3999999999999999,3.0,1.0,20.0,0.0,60.0,0.0,-3,4,-2,-0.3400000000000034,2,0,-3.9,Emirates Stadium,W
2022-2023,2023-05-06,bournemouth,chelsea,3.3,3.5,2.15,J Brooks,Sat,1,2,3.0,2.6000000000000005,0.20000000000000018,2.0,-0.20000000000000018,0.0,1.4,-0.20000000000000018,8.0,0.6000000000000001,-0.19999999999999996,4.0,2.1999999999999997,80.0,2.0,60.0,2.0,-10,-6,-11,-9.0,19,1,1.15,Dean Court,L
2022-2023,2023-05-21,city,chelsea,1.25,6.0,11.0,M Oliver,Sun,0,-4,2.8000000000000007,2.8,1.9999999999999996,-2.4000000000000004,-1.0000000000000002,0.0,1.4,-1.4,14.0,1.2000000000000002,-1.2,12.0,2.2,80.0,11.0,60.0,12.0,1,8,2,3.6599999999999966,-2,0,-9.75,Etihad Stadium,W
